Player,Age,Team,Position,Games_played,Free_Throws,Total_Rebounds,Assists,Steals,Blocks,Fouls,Points
Jalen Green,21.0,HOU,SG,82.0,3.5,5.2,3.5,0.8,0.3,1.4,19.6
Zach LaVine,28.0,CHI,SG,25.0,3.5,5.2,3.9,0.8,0.3,2.3,19.5
Devin Vassell,23.0,SAS,SG,68.0,2.4,3.8,4.1,1.1,0.3,1.1,19.5
Domantas Sabonis,27.0,SAC,C,82.0,3.6,13.7,8.2,0.9,0.6,3.0,19.4
Bam Adebayo,26.0,MIA,C,71.0,4.1,10.4,3.9,1.1,0.9,2.2,19.3
Coby White,23.0,CHI,PG,79.0,2.8,4.5,5.1,0.7,0.2,2.4,19.1
Jalen Williams,22.0,OKC,PF,71.0,2.5,4.0,4.5,1.1,0.6,2.5,19.1
Collin Sexton,25.0,UTA,SG,78.0,4.1,2.6,4.9,0.8,0.2,2.0,18.7
Bradley Beal,30.0,PHO,SG,53.0,2.1,4.4,5.0,1.0,0.5,2.4,18.2
Darius Garland,24.0,CLE,PG,57.0,2.6,2.7,6.5,1.3,0.1,1.7,18.0
D'Angelo Russell,27.0,LAL,PG,76.0,2.1,3.1,6.3,0.9,0.5,2.1,18.0
Nikola VuÄeviÄ,33.0,CHI,C,76.0,1.4,10.5,3.3,0.7,0.8,2.5,18.0
Klay Thompson,33.0,GSW,SF,77.0,1.6,3.3,2.3,0.6,0.5,1.6,17.9
Jordan Poole,24.0,WAS,SG,78.0,2.5,2.7,4.4,1.1,0.3,3.1,17.4
Fred VanVleet,29.0,HOU,PG,73.0,2.7,3.8,8.1,1.4,0.8,2.5,17.4
Brandon Miller,21.0,CHO,SF,74.0,1.9,4.3,2.4,0.9,0.6,2.5,17.3
Tobias Harris,31.0,PHI,PF,70.0,2.7,6.5,3.1,1.0,0.7,1.6,17.2
Jordan Clarkson,31.0,UTA,SG,55.0,3.2,3.4,5.0,0.6,0.1,1.5,17.1
Myles Turner,27.0,IND,C,77.0,3.2,6.9,1.3,0.5,1.9,3.0,17.1
Immanuel Quickley,24.0,2TM,SG,68.0,3.1,3.8,4.9,0.7,0.1,1.8,17.0
Immanuel Quickley,24.0,NYK,SG,30.0,2.7,2.6,2.5,0.5,0.1,1.5,15.0
Immanuel Quickley,24.0,TOR,PG,38.0,3.3,4.8,6.8,0.9,0.2,2.0,18.6
Bogdan BogdanoviÄ,31.0,ATL,SG,79.0,1.9,3.4,3.1,1.2,0.3,2.3,16.9
Deandre Ayton,25.0,POR,C,55.0,1.2,11.1,1.6,1.0,0.8,2.0,16.7
Michael Porter Jr.,25.0,DEN,SF,81.0,1.1,7.0,1.5,0.5,0.7,1.8,16.7
James Harden,34.0,LAC,PG,72.0,4.2,5.1,8.5,1.1,0.8,1.8,16.6
Jarrett Allen,25.0,CLE,C,77.0,3.0,10.5,2.7,0.7,1.1,1.9,16.5
Chet Holmgren,21.0,OKC,C,82.0,2.7,7.9,2.4,0.6,2.3,2.4,16.5
Jonathan Kuminga,21.0,GSW,PF,74.0,3.0,4.8,2.2,0.7,0.5,2.3,16.1
Jalen Johnson,22.0,ATL,SF,56.0,1.9,8.7,3.6,1.2,0.8,2.4,16.0
Austin Reaves,25.0,LAL,SG,82.0,2.8,4.3,5.5,0.8,0.3,1.9,15.9
Shaedon Sharpe,20.0,POR,SG,32.0,3.1,5.0,2.9,0.9,0.4,2.8,15.9
Malcolm Brogdon,31.0,POR,PG,39.0,2.4,3.8,5.5,0.7,0.2,1.5,15.7
Keldon Johnson,24.0,SAS,SF,69.0,2.5,5.5,2.8,0.7,0.3,2.2,15.7
Evan Mobley,22.0,CLE,PF,50.0,2.5,9.4,3.2,0.9,1.4,2.7,15.7
De'Andre Hunter,26.0,ATL,SF,57.0,2.9,3.9,1.5,0.7,0.3,2.6,15.6
Donte DiVincenzo,27.0,NYK,SG,81.0,1.1,3.7,2.7,1.3,0.4,2.0,15.5
Jaden Ivey,21.0,DET,SG,77.0,2.9,3.4,3.8,0.7,0.5,2.6,15.4
Malik Monk,25.0,SAC,SG,72.0,2.4,2.9,5.1,0.6,0.5,2.2,15.4
Kelly Oubre Jr.,28.0,PHI,SF,68.0,2.6,5.0,1.5,1.1,0.7,2.9,15.4
Bojan BogdanoviÄ,34.0,2TM,PF,57.0,2.1,2.7,1.7,0.5,0.1,1.7,15.2
Bojan BogdanoviÄ,34.0,DET,PF,28.0,2.9,3.4,2.5,0.8,0.1,2.0,20.2
Bojan BogdanoviÄ,34.0,NYK,SF,29.0,1.2,2.0,0.9,0.2,0.0,1.3,10.4
Keegan Murray,23.0,SAC,SF,77.0,1.3,5.5,1.7,1.0,0.8,2.7,15.2
Derrick White,29.0,BOS,SG,73.0,1.9,4.2,5.2,1.0,1.2,2.1,15.2
John Collins,26.0,UTA,PF,68.0,2.2,8.5,1.1,0.6,0.9,2.8,15.1
Khris Middleton,32.0,MIL,SF,55.0,1.8,4.7,5.3,0.9,0.3,2.6,15.1
Trey Murphy III,23.0,NOP,SF,57.0,2.2,4.9,2.2,0.9,0.5,1.2,14.8
OG Anunoby,26.0,2TM,SF,50.0,1.3,4.2,2.1,1.4,0.7,2.4,14.7
OG Anunoby,26.0,TOR,SF,27.0,1.2,3.9,2.7,1.0,0.5,2.3,15.1
OG Anunoby,26.0,NYK,SF,23.0,1.5,4.4,1.5,1.7,1.0,2.5,14.1
Deni Avdija,23.0,WAS,SF,75.0,2.7,7.2,3.8,0.8,0.5,2.5,14.7
GG Jackson II,19.0,MEM,PF,48.0,2.4,4.1,1.2,0.6,0.5,1.3,14.6
Bennedict Mathurin,21.0,IND,SF,59.0,3.1,4.0,2.0,0.6,0.2,2.0,14.5
Marcus Smart,29.0,MEM,PG,20.0,2.2,2.7,4.3,2.1,0.3,2.7,14.5
Tim Hardaway Jr.,31.0,DAL,SF,79.0,1.8,3.2,1.8,0.5,0.1,1.3,14.4
Dennis SchrÃ¶der,30.0,2TM,PG,80.0,2.2,3.0,6.1,0.8,0.2,2.1,14.0
Dennis SchrÃ¶der,30.0,TOR,PG,51.0,2.5,2.7,6.1,0.9,0.2,2.1,13.7
Dennis SchrÃ¶der,30.0,BRK,PG,29.0,1.8,3.5,6.0,0.6,0.3,2.0,14.6
Rudy Gobert,31.0,MIN,C,76.0,3.3,12.9,1.3,0.7,2.1,3.1,14.0
Scoot Henderson,19.0,POR,PG,62.0,2.7,3.1,5.4,0.8,0.2,3.1,14.0
Caris LeVert,29.0,CLE,SG,68.0,2.3,4.1,5.1,1.1,0.5,1.8,14.0
Aaron Gordon,28.0,DEN,PF,73.0,2.4,6.5,3.5,0.8,0.6,1.9,13.9
Norman Powell,30.0,LAC,SG,76.0,1.9,2.6,1.1,0.6,0.3,1.8,13.9
Jalen Duren,20.0,DET,C,61.0,2.3,11.6,2.4,0.5,0.8,3.1,13.8
Bobby Portis,28.0,MIL,PF,82.0,1.2,7.4,1.3,0.8,0.4,2.3,13.8
Saddiq Bey,24.0,ATL,SF,63.0,2.7,6.5,1.5,0.8,0.2,1.4,13.7
Jabari Smith Jr.,20.0,HOU,PF,76.0,2.0,8.1,1.6,0.7,0.8,2.6,13.7
Gary Trent Jr.,25.0,TOR,SG,71.0,1.0,2.6,1.7,1.1,0.1,1.4,13.7
Rui Hachimura,25.0,LAL,PF,68.0,1.5,4.3,1.2,0.6,0.4,1.5,13.6
Grayson Allen,28.0,PHO,SG,75.0,1.7,3.9,3.0,0.9,0.6,2.1,13.5
